Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
INST COPESAL,284.0476,0.0,4.33,10.0,6.0,10.0,10.0,6.25
COL ARIEL DAVID,275.0,0.0,9.7,10.0,6.0,6.0,10.0,4.75
INST SANTA MARIA DE LA CRUZ,307.57140000000004,0.0,6.790000000000001,10.0,5.0,8.0,10.0,6.0
COL REAL DE COLOMBIA - SEDE PRINCIPAL,293.1395,0.0,7.340000000000001,10.0,5.0,10.0,10.0,5.0
COL PARROQ ADVENIAT,300.41179999999997,0.0,7.65,10.0,5.0,9.0,10.0,5.0
COL MAYOR JOSE CELESTINO MUTIS,294.4545,0.0,7.05,10.0,5.0,9.0,4.15,8.25
COL HOGAR DE NAZARETH,297.0978,0.0,6.140000000000001,8.0,6.0,10.0,8.4,5.5
COL STELLA MATUTINA,324.04,10.0,9.9,10.0,5.0,10.0,4.25,9.5
COL INGLATERRA REAL,315.48,6.0,9.530000000000001,10.0,5.0,9.25,3.9,10.0
GIMN COMERCIAL LOS ANDES - SEDE PRINCIPAL,265.48,0.0,6.640000000000001,10.0,6.0,10.0,10.0,8.25
LIC HOMERICO,253.1429,0.0,4.22,10.0,6.0,10.0,10.0,6.75
COL SANTA ROSA DE LIMA,285.0,0.0,8.330000000000002,4.0,5.0,10.0,7.8500000000000005,10.0
LIC MARANATA,287.36670000000004,0.0,9.95,10.0,10.0,5.75,8.05,3.25
INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES,300.7647,0.0,9.290000000000001,10.0,5.0,8.75,10.0,6.25
INST TOMAS DE IRIARTE,298.84620000000007,0.0,4.95,10.0,6.0,10.0,10.0,6.75
GIMNASIO MODELIA REAL - SEDE PRINCIPAL,289.79409999999996,0.0,6.99,10.0,5.0,10.0,7.449999999999999,8.75
CENT DE INTEGRACION EDUCACION DEL NORTE (CIEN ),291.24640000000005,0.0,0.5799999999999998,4.0,5.0,10.0,10.0,6.5
COL DE LA ENSEÑANZA,334.46840000000003,10.0,10.0,10.0,5.0,7.5,3.1500000000000004,10.0
INST ALBERTO MERANI,370.85,6.0,9.65,10.0,5.0,9.0,3.8499999999999996,10.0
COL COOP MINUTO DE DIOS,264.77779999999996,0.0,8.75,10.0,5.0,10.0,10.0,10.0
COL HARVARD,264.9524,2.0,6.71,10.0,5.0,10.0,6.95,10.0
INSTITUTO EDUCATIVO FUTURO HOY - SEDE PRINCIPAL,254.54670000000002,0.0,2.74,10.0,5.0,10.0,10.0,10.0
CENT PANAMERICANO DE CAPACITACION SEDE CHAPINERO,242.98720000000003,0.0,0.0,0.0,7.0,10.0,8.9,10.0
COL JAIME QUIJANO CABALLERO,281.83779999999996,0.0,5.48,2.0,5.0,10.0,10.0,6.25
INST MILIT AQUILEO PARRA,278.41459999999995,10.0,9.8,10.0,5.0,10.0,5.25,8.75
LIC PSICOPEDAG TIBABITA,273.6176,10.0,10.0,10.0,5.0,8.0,3.55,7.5
COL SANTIAGO MAYOR,274.1429,10.0,9.95,10.0,5.0,9.75,4.949999999999999,9.25
COL SAN SIMON,306.66670000000005,2.0,8.49,10.0,5.0,10.0,5.45,8.0
LIC FORMACION EDUC PERSONALIZADA,291.34620000000007,6.0,7.49,10.0,5.0,10.0,6.75,10.0
INSTITUTO COMERCIAL LORETO - SEDE PRINCIPAL,293.1299,0.0,9.35,10.0,5.0,9.75,10.0,6.0
COL LUTERANO SAN LUCAS,302.51609999999994,0.0,0.14999999999999974,4.0,5.0,10.0,10.0,6.5
COL SANTA LUISA,307.7535,2.0,8.75,10.0,6.0,9.25,10.0,6.5
COL EL MINUTO DE DIOS,317.16,0.0,8.65,10.0,5.0,10.0,10.0,10.0
COL DE LA PRESENTACION SANS FACON,328.8586,0.0,9.15,10.0,5.0,10.0,4.5,8.0
LIC  DE CERVANTES PADRES AGUSTINOS,357.0,8.0,8.59,10.0,5.0,10.0,5.3500000000000005,7.25
COL EMILIO VALENZUELA - SEDE PRINCIPAL,321.1184,10.0,9.95,10.0,5.0,10.0,4.4,9.5
COL HIJAS DE CRISTO REY,338.9367,0.0,8.34,10.0,5.0,10.0,7.1000000000000005,7.0
GIMN MILIT FUERZA AEREA DE COLOMBIA,318.9474,0.0,7.619999999999998,10.0,6.0,10.0,10.0,6.75
COL RR OBLATAS AL DIVINO AMOR,315.7302,0.0,6.85,10.0,5.0,10.0,8.600000000000001,10.0
COL PROVINMA,317.95829999999995,8.0,8.14,10.0,5.0,10.0,4.2,5.5
LIC LA SABANA,320.84620000000007,10.0,9.25,10.0,5.0,10.0,5.7,7.75
COL LISA MEITNER,317.09090000000003,10.0,10.0,10.0,5.0,9.25,6.050000000000001,6.25
COL BOGOTANO MIXTO,315.0,0.0,0.0,0.0,10.0,10.0,9.75,10.0
CENT EDUC NAL PILOTO BAVARIA,256.83209999999997,0.0,3.85,10.0,6.0,10.0,4.7,6.5
CENT EDUC DIST SIMON BOLIVAR,251.80879999999996,0.0,2.8299999999999996,10.0,7.5,10.0,9.600000000000001,5.5
COL NAL CLEMENCIA DE CAYCEDO,256.7011,4.0,5.390000000000001,8.0,5.0,10.0,10.0,10.0
COL DEPT INTEGRADO FONTIBON,250.5311,10.0,6.28,6.0,5.0,8.75,8.450000000000001,4.5
COL DIST GUILLERMO LEON VALENCIA,257.80620000000005,0.0,3.24,10.0,6.0,10.0,10.0,10.0
COL DIST TOMAS CARRASQUILLA,266.8045,0.0,5.43,6.0,6.0,10.0,8.55,10.0
CENT EDUC DIST ALVARO GOMEZ HURTADO,261.36199999999997,0.0,0.34999999999999987,10.0,6.0,10.0,10.0,5.75
CENT EDUC DIST ANTONIO VAN UDEN,260.0,10.0,9.190000000000001,10.0,5.0,7.0,5.8500000000000005,4.5
CENT EDUC DIST RUFINO JOSE CUERVO,265.873,2.0,8.95,8.0,5.0,9.25,10.0,6.75
CENT EDUC DIST FLORENTINO GONZALEZ,259.9296,0.0,9.55,10.0,6.0,10.0,10.0,8.0
CENT EDUC DIST BRAVO PAEZ,265.30170000000004,6.0,7.9,10.0,5.0,10.0,10.0,9.25
COL MARIA CANO (NIS EDUC DIST),265.16790000000003,0.0,7.4,0.0,5.0,10.0,10.0,10.0
CENT EDUC DIST ANTONIO BARAYA,267.4868,0.0,0.0,0.0,7.0,10.0,10.0,10.0
COL DIST REP DE PANAMA,257.8571,0.0,0.03999999999999982,10.0,6.0,10.0,8.15,10.0
CENT EDUC DIST GUILLERMO LEON VALENCIA,272.41940000000005,0.0,6.65,6.0,6.0,10.0,10.0,9.0
CENT EDUC DIST REP DE VENEZUELA,270.59569999999997,0.0,0.0,0.0,6.0,10.0,10.0,10.0
CENT EDUC DIST QUIROGA ALIANZA,272.2879,8.0,5.88,10.0,5.0,10.0,10.0,9.0
CENT EDUC DIST EDUARDO SANTOS,274.8627,10.0,6.590000000000001,4.0,5.0,10.0,10.0,10.0
COL DIST MARIANO OSPINA PEREZ,272.3171,0.0,8.790000000000001,8.0,5.0,10.0,9.05,10.0
CENT EDUC DIST RODRIGO ARENAS BETANCOURT,270.41220000000004,10.0,4.340000000000001,0.0,6.0,10.0,7.95,4.0
CEDIT FRANCISCO DE PAULA SANTANDER,273.92539999999997,0.0,8.45,8.0,6.0,10.0,10.0,10.0
CENT EDUC DIST ALEJANDRO OBREGON,271.57140000000004,0.0,7.5,6.0,5.0,10.0,10.0,10.0
COL DIST BENJAMIN HERRERA,273.58900000000006,0.0,9.0,8.0,10.0,10.0,10.0,8.5
CENT EDUC DIST EL JAZMIN,269.8054,6.0,7.45,10.0,5.0,10.0,10.0,9.5
COL GENERAL GUSTAVO ROJAS PINILLA,274.38190000000003,0.0,6.94,10.0,5.0,10.0,8.4,7.0
COL DIST U.B. CIUDAD DE BOGOTA,268.3897,0.0,4.390000000000001,10.0,5.0,9.5,10.0,7.5
INEM FRANCISCO DE PAULA SANTANDER,269.98109999999997,0.0,7.15,10.0,6.0,10.0,10.0,6.0
LICEO FEM DE CUNDINAMARCA MERCEDES NARIÑO,282.8268,0.0,6.630000000000001,0.0,5.0,10.0,10.0,10.0
COLEGIO RODOLFO LLINAS IED - SEDE PRINCIPAL,298.0203,8.0,9.7,10.0,5.0,10.0,10.0,5.75
CENT EDUC DIST BAS Y MEDIA O.E.A,283.45140000000004,0.0,8.75,0.0,6.0,10.0,10.0,6.5
CEDID ALFONSO LOPEZ PUMAREJO,279.4226,0.0,9.4,10.0,5.0,10.0,10.0,7.75
COL DIST EDUC BAS Y MEDIA ATANASIO GIRARDOT,280.7262,4.0,8.0,8.0,5.0,10.0,10.0,10.0
COL DIST CARLOS ARANGO VELEZ,278.11109999999996,0.0,9.0,0.0,6.0,10.0,10.0,7.25
CENT EDUC DIST MANUELA AYALA DE GAITAN,281.4968,0.0,6.38,4.0,6.0,10.0,10.0,9.75
COL DIST HELADIA MEJIA HIJOS DE EDUCADORES,279.7069,0.0,5.769999999999999,0.0,5.0,10.0,8.15,10.0
COL DIST LUIS CARLOS GALAN SARMIENTO,296.7119,8.0,7.44,10.0,5.0,10.0,10.0,7.75
COL DIST RAFAEL BERNAL JIMENEZ,278.9506,0.0,1.6999999999999997,10.0,5.0,10.0,7.950000000000001,10.0
